,content,id,lat,location,lon,time,user,user_id
0,"To everything, turn, turn, turn...crisping up some pork belly for the first of eight clients… https://t.co/ISCzyTioOZ",968148589875728384,-71.09713,"Boston, MA",42.37055,2018-02-26 15:39:45,bostonburger,80856616
1,@NEAQ @CenterOceanLife John Mandelman inspiring action and mobilization for thriving oceans at the @medialab.… https://t.co/cTMUQ8Z5of,968146048148475906,,,,2018-02-26 15:29:39,janewolfson2,315541589
2,"RT @hoover_dam: @kevincollier @EdgeofSports Hey that's not fair

It's also the go-to for hillbilly incest jokes
[I'm originally from wheeli…",968145079100755970,,"New York, New York",,2018-02-26 15:25:48,KFCMF,321576546
3,"Accident, right lane blocked in #Boston on Storrow Dr at Fenway #traffic https://t.co/AoTr5OKtFq",968144523380617216,-71.093,"Boston, MA",42.3512,2018-02-26 15:23:36,TotalTrafficBOS,249393984
4,"Congrats, Jo!!! 25th #weddinganniversary !! #worklife #silver #happy #loveisgreat @ British… https://t.co/aGAjaHEQvl",968141700718833665,-71.0832,Massachusetts,42.36273,2018-02-26 15:12:23,MCLampaSays,32022463
5,"Happy birthday to my baby❤️😘no longer a teen lmaooooo, ily!!!!! ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ https://t.co/WUqQGvQ8Qq",968139333843800064,,"Boston, MA",,2018-02-26 15:02:59,Newchurchie,748580948
6,In 4 hrs: Trevor Watts &amp; Dexter Gordon Featured on WMBR's Research &amp; Development Program,968138589564436481,-71.083889,"Cambridge, MA",42.362222,2018-02-26 15:00:01,wmbr,15673749
7,"This thursday, march 1st at 3pm @ The Berklee Bookstore https://t.co/GG0uCoaRFS",968135345412993031,-71.088367,USA,42.34707,2018-02-26 14:47:08,jetroscholar,27477923
8,"Belle chronique de @YanickLahens sur la Francophonie en Haïti. Mais il y a une autre histoire à l’instar de Fanon,… https://t.co/YjHMazW6YN",968132133310132224,,MIT,,2018-02-26 14:34:22,MichelDeGraff,2203470013
9,Nice... https://t.co/qYx9xiZBe0,968131553502093312,,"Boston, MA",,2018-02-26 14:32:04,OnlyInBOS,700903452
10,Yeeeeuuuur come pull up for #cliquetuesday &amp; get litty litty chicken… https://t.co/50GnVS4mz9,968130914130845697,-71.1011,,42.36348,2018-02-26 14:29:31,Surrizle15,183125411
